smiles,split
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,train
CNC(=O)Oc1ccccc1OC(C)C,train
CCC(C)Cl,train
Oc1ccc2ccccc2c1,train
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,train
CCCCC#C,train
CCCCCCCC#C,train
Cc1ccccc1Cl,train
CC(C)OC(C)C,train
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,val
CNN,train
CC#C,train
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,train
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,train
C=CC=O,train
O=c1[nH]cnc2nc[nH]c12 ,test
Oc2ccc1ncccc1c2 ,train
Fc1ccccc1,train
CCCCl,train
CCOC(=O)C,train
CCCC(C)(C)C,train
Cc1cc(C)c(C)c(C)c1C,train
CC12CCC(CC1)C(C)(C)O2 ,val
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,train
Clc1ccc(cc1)c2ccc(Cl)cc2 ,train
Cc1cccnc1C,train
CC(=C)C1CC=C(C)C(=O)C1,train
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,train
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,val
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,val
Cc1ccc(cc1N(=O)=O)N(=O)=O,train
c1c(Br)ccc2ccccc12 ,train
CNC(=O)Oc1cccc(N=CN(C)C)c1,train
COc2cnc1ncncc1n2,train
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,test
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,train
CC(=C)C=C,train
CC(C)=CCCC(O)(C)C=C,train
COP(=S)(OC)Oc1ccc(SC)c(C)c1,train
OC1CCCCC1,train
O=C1NC(=O)NC(=O)C1(C)CC=C,train
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,val
OCC(O)C(O)C(O)C(O)CO ,train
Cc1ccc(cc1)c2ccccc2,train
CCNc1nc(Cl)nc(NC(C)C)n1,train
NC(=S)Nc1ccccc1,train
CCCC(=O)CCC,train
CC(=O)C(C)(C)C,train
Oc1ccc(Cl)cc1,train
O=C1CCCCC1,val
Cc1cccc(N)c1,train
ClC(Cl)(Cl)C#N,train
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,train
CCCCCCCCC(=O)C,train
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,train
CCOC(=O)c1ccc(N)cc1,train
Clc1ccc(Cl)c(Cl)c1,train
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,val
Oc1ccccc1O,train
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,train
CSC,train
Cc1ccccc1Br,train
CCOC(=O)N,train
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,val
CC(C)C(O)C(C)C,train
c1ccc2ccccc2c1,train
CCNc1ccccc1,train
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,train
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,test
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,train
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,train
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,val
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,train
CN(C)C(=O)Nc1ccc(Cl)cc1,train
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,test
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,train
CCCCBr,train
Brc1cc(Br)c(Br)cc1Br,train
CC(C)CC(=O)C,train
CCSC(=O)N(CC)C1CCCCC1 ,train
COc1ccc(Cl)cc1,train
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,train
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,train
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,train
Ic1cccc2ccccc12,train
OCC(O)C(O)C(O)C(O)CO,train
CCS,train
ClCC(Cl)Cl,train
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,val
NC(=O)c1ccccc1O,train
Cc1ccccc1N(=O)=O,train
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,train
CCc1ccccc1C,train
CCCCCCCCl,train
O=C1NC(=O)NC(=O)C1(CC)CC,train
C(Cc1ccccc1)c2ccccc2,train
ClC(Cl)C(Cl)Cl,train
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,train
Cc1ccc2c(ccc3ccccc32)c1,train
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,train
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,train
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,train
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,val
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,val
COc1ccc(cc1)N(=O)=O,train
CCCCCCCl,train
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,train
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,test
CCCCCCCCCCCCCCCCCCCCCCCCCC,train
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,train
CC(Cl)Cl,train
Nc1ccc(cc1)S(N)(=O)=O,train
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,train
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,train
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,train
Clc1cccc(Cl)c1Cl,train
ClC(Cl)(Cl)Cl,train
O=N(=O)c1cc(Cl)c(Cl)cc1,train
OC1CCCCCCC1,train
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,train
CCOc1ccc(NC(N)=O)cc1,train
C/C1CCC(\C)CC1,train
c1cnc2c(c1)ccc3ncccc23,test
COC(C)(C)C,train
COc1ccc(C=CC)cc1,train
CCCCCCCCCCCCCCCCO,train
O=c1cc[nH]c(=O)[nH]1 ,train
Nc1ncnc2nc[nH]c12 ,train
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,train
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,val
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,test
O=C(Nc1ccccc1)Nc2ccccc2,test
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,train
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,train
CC(C)c1ccc(NC(=O)N(C)C)cc1,train
CCN(CC)C(=O)CSc1ccc(Cl)nn1,val
CCC(C)(C)CO,train
CCCOC(=O)CCC,train
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,train
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,train
C1CCCCCC1,train
CCCOC=O,train
CC(C)c1ccccc1C,train
Nc1cccc(Cl)c1,train
CC(C)CC(C)C,train
o1c2ccccc2c3ccccc13,test
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,train
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,train
c3ccc2nc1ccccc1cc2c3,train
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,train
OCC1OC(O)C(O)C(O)C1O,train
Cc1cccc(O)c1,train
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,test
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,test
O=N(=O)c1ccc(cc1)N(=O)=O,train
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,test
CCCCCCCCCC(=O)OCC,train
CN(C)C(=O)Nc1ccccc1,train
CCCOCC,train
CC(C)O,train
Cc1ccc2ccccc2c1,train
ClC(Br)Br,train
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,train
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,train
ClCc1ccccc1,train
C/C=C/C=O,train
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,train
Cc1c2ccccc2c(C)c3ccccc13,train
CCCCCC(=O)OC,train
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,train
CC(=O)Nc1ccc(F)cc1,train
CCc1cccc(CC)c1N(COC)C(=O)CCl ,train
C1CCC=CC1,train
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,train
c1cncnc1,train
Clc1ccc(cc1)N(=O)=O,train
CCC(=O)OC,train
Clc1ccccc1N(=O)=O,train
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,train
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,val
O=N(=O)c1ccccc1,train
Ic1ccccc1,train
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,test
COc1ccccc1OCC(O)COC(N)=O,train
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,train
Oc1cccc(Cl)c1Cl,train
CCCC(=O)OC,train
CCC(=O)Nc1ccc(Cl)c(Cl)c1,train
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,test
CCCCCC(=O)OCC,train
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,val
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,test
COc1nc(NC(C)C)nc(NC(C)C)n1,train
CCCCCCC=C,train
Cc1ccc(N)cc1,train
Nc1nccs1 ,test
c1ccccc1(OC(=O)NC),train
CCCC(O)CC,train
c3ccc2c(O)c1ccccc1cc2c3 ,train
Cc1ccc2cc3ccccc3cc2c1,train
Cc1cccc(C)c1C,train
CNC(=O)Oc1ccc(N(C)C)c(C)c1,train
CCCCCCCC(C)O,train
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,val
CCCC(=O)CC,train
Oc1c(Br)cc(C#N)cc1Br ,train
Clc1ccc(cc1Cl)c2ccccc2 ,train
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,test
Oc1cccc2ncccc12 ,train
CC1=C(SCCO1)C(=O)Nc2ccccc2,test
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,train
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,train
ClCBr,train
CCC1(CC)C(=O)NC(=O)N(C)C1=O ,train
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,train
NC(=O)NCc1ccccc1 ,train
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,train
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,train
OC1CCCCCC1,train
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,train
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,train
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,val
Oc1ccc(cc1)N(=O)=O,train
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,test
C1CCOC1,train
Nc1ccccc1N(=O)=O,train
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,train
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,train
Cc1c(cccc1N(=O)=O)N(=O)=O,train
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,train
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,train
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,test
c1(Br)c(Br)cc(Br)cc1,train
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,train
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,train
c1(O)c(C)ccc(C(C)C)c1,train
C1SC(=S)NC1(=O),val
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,test
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,test
CCN(CC)C(=S)SSC(=S)N(CC)CC,train
C1CCCCC1,train
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,test
CN(C)C=Nc1ccc(Cl)cc1C,train
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,val
CCCCCCCCO,train
CCSCC,train
ClCCCl,train
CCC(C)(C)Cl,train
ClCCBr,train
Nc1ccc(cc1)N(=O)=O,train
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,val
CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,train
Clc1ccccc1,train
CCCCCCCC=C,train
Brc1ccc(I)cc1,train
CCC(C)(O)CC,train
CCCCCc1ccccc1,train
NC(=O)NC1NC(=O)NC1=O ,train
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,val
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,train
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,train
Clc1cccc2ccccc12,train
CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,val
CCCCC(C)O,train
CCCC1CCCC1,train
CCOC(=O)c1cncn1C(C)c2ccccc2,test
Oc1ccc(Cl)c(Cl)c1,train
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,train
c2ccc1ocnc1c2,val
CCCCCO,train
CCN(CC)c1ccccc1,train
Fc1cccc(F)c1,train
ClCCC#N ,train
CC(C)(C)Cc1ccccc1,train
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,train
Clc1ccccc1I,train
c2ccc1[nH]nnc1c2,test
CNC(=O)Oc1cccc2CC(C)(C)Oc12,train
Cc1cccc(C)c1O,train
CC(C)C(C)O,train
c1ccccc1C(O)c2ccccc2,train
CCCCCCCCCC(=O)OC,train
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,train
CC(C)CBr,train
CCI,train
CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,train
CCCCCCBr,train
CCCC(C)C,train
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,val
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,train
ON=Cc1ccc(o1)N(=O)=O ,train
CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,test
Nc1nc[nH]n1,train
BrC(Br)Br,train
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,train
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,train
OCc1ccccc1,train
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,val
Oc1ccc(Br)cc1,train
CC(C)Br,train
CC(C)CC(C)(C)C,train
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,train
CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,train
CCC,train
Nc1cc(nc(N)n1=O)N2CCCCC2 ,test
Nc2cccc3nc1ccccc1cc23 ,train
c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,val
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,train
C1Cc2cccc3cccc1c23,val
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,train
Brc1ccc(Br)cc1,train
Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,val
Oc1ccc(cc1)c2ccccc2,train
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,val
CCOC=C,train
CCC#C,train
COc1ncnc2nccnc12 ,train
CCCCC(C)(O)CC,train
Clc1ccc(Cl)cc1,train
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,train
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,train
Cc1c[nH]c2ccccc12 ,train
COc2ncc1nccnc1n2,train
CNC(=O)Oc1ccccc1C2OCCO2,test
C1N(C(=O)NCC(C)C)C(=O)NC1,val
CC#N,train
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,train
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,val
ClCC(Cl)(Cl)Cl,train
CCCCO,train
CC1CCCCC1NC(=O)Nc2ccccc2,test
Clc1cc(Cl)cc(Cl)c1,train
O=Cc1ccco1,train
CC(C)CCO,train
O=Cc2ccc1OCOc1c2 ,val
CC(=C)C,train
O=Cc1ccccc1,train
CC(=C)C(=C)C,train
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,train
O2c1ccccc1N(C)C(=O)c3cccnc23 ,train
C1c2ccccc2c3ccccc13,train
CC1CCCCC1,train
NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,train
COC(=O)c1ccc(O)cc1,train
CC1CCCO1,train
CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,val
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,test
CCCI,train
CCNc1nc(NC(C)C)nc(SC)n1,train
CCCO,train
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,train
CCCC(C)O,train
OC(C(=O)c1ccccc1)c2ccccc2,val
Cc1ccc(O)c(C)c1,train
Clc1cccc(c1)N(=O)=O,train
Cc2c(N)c(=O)n(c1ccccc1)n2C,train
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,train
ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,train
CCNc1nc(NC(C)(C)C)nc(SC)n1,train
CCC(C)CCO,train
Cc2ncc1nccnc1n2,train
